term,estimate,se,t_val,p_val,topic,destination,sig
destinationludbreg,-0.0128196231890652,0.00553176881145294,-2.31745462003465,0.0204934256118279,22,ludbreg,*
destinationmarija_bistrica,-0.0888398310427674,12.0838702033882,-0.00735193522832258,0.994134162700127,22,marija_bistrica,""
destinationnin,-0.0856475783061332,14.0312074203965,-0.0061040775565495,0.995129768569748,22,nin,""
destinationsinj,-0.0679417785620105,12.0838631129756,-0.00562252136810907,0.995513981301136,22,sinj,""
destinationsolin,-0.0726000578836701,14.0312384267148,-0.0051741732038024,0.995871699731926,22,solin,""
destinationtrsat,-0.0878826583877366,12.0838609157339,-0.0072727300488297,0.994197356464117,22,trsat,""
destinationvepric,0.0319078121831995,0.00942386072581726,3.38585353832597,0.000711535919634244,22,vepric,***
destinationvocin,-0.0161298434713668,0.00355081384399183,-4.54257648529208,5.60382731566633e-06,22,vocin,***
destinationkrasno,-0.00189056662781281,0.00663064309621356,-0.285125680930168,0.775552102277303,23,krasno,""
destinationludbreg,-0.0103386449776789,0.00526598016776095,-1.96328976720679,0.0496324138865277,23,ludbreg,*
destinationmarija_bistrica,-0.00333834704717443,13.4630007915159,-0.000247964558486706,0.999802156466274,23,marija_bistrica,""
destinationnin,0.157695937540074,15.6175093467245,0.0100973807051473,0.991943737588214,23,nin,""
destinationsinj,0.00383047501545827,13.4630207275332,0.000284518243935001,0.999772991370418,23,sinj,""
destinationsolin,-0.142929381785258,15.6174515460781,-0.0091519017275998,0.992698072134096,23,solin,""
destinationtrsat,-0.00192233294243273,13.4630697255911,-0.000142785633708685,0.999886075596028,23,trsat,""
destinationvepric,-0.0118545731714307,0.00670710315801381,-1.76746546044495,0.0771722375397448,23,vepric,""
destinationvocin,-0.0115754767272645,0.00345880112245266,-3.34667311517935,0.000820043350587637,23,vocin,***
destinationkrasno,0.00170430073825223,0.00995861739359342,0.171138288669332,0.864117520126367,24,krasno,""
destinationludbreg,-0.00340000358653457,0.00837330679413294,-0.406052670722266,0.684710148750737,24,ludbreg,""
destinationmarija_bistrica,-0.0830440298638719,22.476289963034,-0.003694739211874,0.997052084335782,24,marija_bistrica,""
destinationnin,0.0633098635161928,25.3803089575664,0.00249444810234742,0.998009756218773,24,nin,""
destinationsinj,0.0813073124231727,22.4763608941562,0.00361745892967541,0.997113743559058,24,sinj,""
destinationsolin,0.0638275763773021,25.3803750763456,0.00251483976045686,0.997993486373156,24,solin,""
destinationtrsat,-0.0808445403589174,22.4762962054251,-0.00359688000282734,0.997130162765031,24,trsat,""
destinationvepric,0.00145503377688433,0.0108203465391239,0.134472012668287,0.893031286945116,24,vepric,""
destinationvocin,-8.80076756966447e-05,0.00553333778247993,-0.0159049888433165,0.987310418173504,24,vocin,""
destinationkrasno,-0.00380697656024196,0.00591515272449903,-0.643597340179309,0.519847189695527,25,krasno,""
destinationludbreg,0.476722547244816,0.0171334948861361,27.8240108286701,7.44255626037962e-166,25,ludbreg,***
destinationmarija_bistrica,0.10840728599481,13.2688461299528,0.00817006127986471,0.993481423969105,25,marija_bistrica,""
destinationnin,-0.0272202502978249,15.1919616669708,-0.00179175348743836,0.99857041402356,25,nin,""
destinationsinj,0.117889894760281,13.2688171839015,0.00888473276301613,0.992911229623996,25,sinj,""
destinationsolin,-0.0271112663483563,15.191933418057,-0.00178458301536077,0.998576135120515,25,solin,""
destinationtrsat,0.106419213364757,13.2687918682726,0.00802026397137326,0.993600938863473,25,trsat,""
destinationvepric,0.10447567474905,0.0115717485941798,9.02851232022084,1.9658256752474e-19,25,vepric,***
destinationvocin,0.00544441106780121,0.00358601371659207,1.51823486971356,0.128977934512756,25,vocin,""
destinationkrasno,-0.000606961187379322,0.0068817598729289,-0.0881985420280288,0.929720146209796,26,krasno,""
destinationludbreg,-0.0146026732567423,0.00510698096999631,-2.85935532999507,0.00425134546864166,26,ludbreg,**
destinationmarija_bistrica,0.0128842088854313,12.8389944839993,0.00100352164661247,0.999199320101805,26,marija_bistrica,""
destinationnin,-0.0702846167468538,14.7000814112495,-0.0047812399659955,0.996185205572836,26,nin,""
destinationsinj,-0.00618044765782426,12.8390167353439,-0.000481380138777326,0.999615921139699,26,sinj,""
destinationsolin,-0.0657854633146558,14.7000568234109,-0.00447518428703539,0.996429395666935,26,solin,""
destinationtrsat,-0.00992334344317728,12.8389949069226,-0.000772906564346933,0.99938332093423,26,trsat,""
destinationvepric,-0.0124904292050947,0.00677562488665117,-1.84343575892202,0.0652866798686077,26,vepric,""
destinationvocin,0.0136015032290772,0.00401345781902674,3.38897375838762,0.000703495175680671,26,vocin,***
destinationkrasno,0.00323093640283965,0.0106314923975902,0.30390243269816,0.761206771618711,27,krasno,""
destinationludbreg,-0.0442372911154776,0.00667505772891936,-6.6272522144373,3.54589584478276e-11,27,ludbreg,***
destinationmarija_bistrica,0.182020201820682,16.9782946093168,0.010720758828204,0.991446389704966,27,marija_bistrica,""
destinationnin,-0.060711813051013,19.3706387125538,-0.00313421844018322,0.997499304551722,27,nin,""
destinationsinj,0.244261776984484,16.9783153356777,0.0143866910323664,0.988521683711032,27,sinj,""
destinationsolin,-0.0332408800058004,19.3705846809228,-0.00171604938897574,0.998630815976001,27,solin,""
destinationtrsat,0.214235707175277,16.9782909541226,0.0126182139152974,0.989932570117096,27,trsat,""
destinationvepric,0.191836800541905,0.0146476849720656,13.0967317298095,5.84441369716162e-39,27,vepric,***
destinationvocin,-0.00974614592420332,0.00486299577504034,-2.00414443586936,0.0450739490080899,27,vocin,*
destinationkrasno,-0.00416196186357923,0.00689000145226469,-0.604058198305782,0.545814804656401,28,krasno,""
destinationludbreg,0.0258539510852339,0.00673580654802196,3.83828586835325,0.000124444715986998,28,ludbreg,***
destinationmarija_bistrica,-0.107356715214718,14.8015475455144,-0.00725307369953026,0.994213039266105,28,marija_bistrica,""
destinationnin,-0.0318646337075518,16.981816045814,-0.00187639729588323,0.998502879363478,28,nin,""
destinationsinj,-0.149945499427517,14.8015552153836,-0.0101303881413539,0.991917403284979,28,sinj,""
destinationsolin,-0.0283810855580641,16.9818105967475,-0.00167126381467827,0.998666549000568,28,solin,""
destinationtrsat,-0.16001905296701,14.8015092321387,-0.0108109957205958,0.991374396548771,28,trsat,""
destinationvepric,0.00586939950673683,0.00788843849551025,0.744050867618151,0.45685827460044,28,vepric,""
destinationvocin,0.00387674501897735,0.00401259228757229,0.966144761575783,0.3339885517419,28,vocin,""
destinationkrasno,0.0204463478758495,0.00909813926548331,2.24731093679992,0.0246357763858269,29,krasno,*
destinationludbreg,0.00436063038892615,0.0070669711878768,0.617043748021315,0.537215973437003,29,ludbreg,""
destinationmarija_bistrica,0.347349017208777,14.341716278571,0.0242194874352504,0.980677881497606,29,marija_bistrica,""
destinationnin,0.234501581577682,16.4181978418015,0.0142830281275226,0.988604384757146,29,nin,""
destinationsinj,0.316941443831497,14.3416822314543,0.0220993213150671,0.982369044952475,29,sinj,""
destinationsolin,0.228418959166897,16.4182349805111,0.0139125161406227,0.988899975856823,29,solin,""
destinationtrsat,0.321938239645847,14.3417014770621,0.0224477019104568,0.982091151399407,29,trsat,""
destinationvepric,0.00950728961585276,0.00856711210001919,1.10974264196117,0.267129133322378,29,vepric,""
destinationvocin,0.0053932570625268,0.004327433135777,1.2462947186724,0.212677211796332,29,vocin,""
destinationkrasno,0.00260398587299397,0.00586715647937916,0.443824173114523,0.657176616054139,30,krasno,""
destinationludbreg,0.0180310649872927,0.00556268073436034,3.2414344537007,0.00119209782054619,30,ludbreg,**
destinationmarija_bistrica,0.0225073633649689,10.9482858866506,0.00205578878721212,0.998359748512456,30,marija_bistrica,""
destinationnin,0.0386962431629487,12.7704286236681,0.00303014443001788,0.997582341710169,30,nin,""
destinationsinj,0.0292887488502392,10.9482858102048,0.00267519037756025,0.997865547822653,30,sinj,""
